  ,Date,Trip_ID,Stop_Name,Latitude,Longitude,Visit_Time,Visit_Duration_Min,Travel_Next_Min,Day_Of_Week,Month
D2,09-Feb-2026,TRP-0147,Outlet 5,17.4120,78.4980,09:15,15,31,Monday,February
D2,10-Feb-2026,TRP-0148,Market 2,17.3850,78.5080,12:15,50,13,Tuesday,February
D2,11-Feb-2026,TRP-0149,Outlet 4,17.3980,78.4720,16:00,52,13,Wednesday,February
D2,12-Feb-2026,TRP-0150,Store C,17.3750,78.4800,15:45,45,44,Thursday,February
D2,18-Feb-2026,TRP-0151,Hub East,17.3950,78.5500,13:30,47,18,Wednesday,February
D2,23-Feb-2026,TRP-0152,Outlet 5,17.4120,78.4980,13:30,14,26,Monday,February
D2,24-Feb-2026,TRP-0153,Bank B,17.3980,78.4980,12:30,54,45,Tuesday,February
D2,26-Feb-2026,TRP-0154,Store G,17.4200,78.4900,12:45,30,39,Thursday,February
D2,01-Mar-2026,TRP-0155,Airport Gate,17.2400,78.4300,13:45,27,20,Sunday,March
D2,04-Mar-2026,TRP-0156,Hub West,17.3950,78.4300,11:15,13,13,Wednesday,March
D2,05-Mar-2026,TRP-0157,Airport Gate,17.2400,78.4300,10:15,13,28,Thursday,March
D2,06-Mar-2026,TRP-0158,Factory 2,17.3200,78.4300,15:30,29,26,Friday,March
D2,09-Mar-2026,TRP-0159,Store E,17.3600,78.4700,11:30,14,14,Monday,March
D2,13-Mar-2026,TRP-0160,Tech Park 2,17.3550,78.4580,11:45,60,44,Friday,March
D2,14-Mar-2026,TRP-0161,Pharmacy 2,17.4050,78.4950,11:30,45,28,Saturday,March
D2,15-Mar-2026,TRP-0162,Store D,17.4000,78.5000,16:45,52,31,Sunday,March
D2,18-Mar-2026,TRP-0163,Outlet 5,17.4120,78.4980,08:30,31,40,Wednesday,March
D2,20-Mar-2026,TRP-0164,Clinic B,17.3920,78.4960,12:45,10,33,Friday,March
D2,29-Mar-2026,TRP-0165,Mall 2,17.4250,78.5250,15:15,60,24,Sunday,March
D2,03-Apr-2026,TRP-0166,Outlet 3,17.3650,78.4780,11:15,44,21,Friday,April
D2,04-Apr-2026,TRP-0167,Railway Station,17.4320,78.4980,08:30,50,20,Saturday,April
D2,09-Apr-2026,TRP-0168,Factory 1,17.4600,78.5500,11:00,20,30,Thursday,April
D2,11-Apr-2026,TRP-0169,Store A,17.3850,78.4860,13:45,22,38,Saturday,April
D2,13-Apr-2026,TRP-0170,Store D,17.4000,78.5000,15:15,11,45,Monday,April
D2,14-Apr-2026,TRP-0171,Hub South,17.3300,78.4400,16:15,43,16,Tuesday,April
D2,22-Apr-2026,TRP-0172,Store J,17.3950,78.5050,15:30,46,29,Wednesday,April
D2,23-Apr-2026,TRP-0173,Store D,17.4000,78.5000,14:15,19,34,Thursday,April
D2,25-Apr-2026,TRP-0174,Market 2,17.3850,78.5080,08:45,37,36,Saturday,April
D2,26-Apr-2026,TRP-0175,Park A,17.4180,78.5180,08:00,47,20,Sunday,April
D2,28-Apr-2026,TRP-0176,Bank A,17.3880,78.4820,12:45,22,42,Tuesday,April
D2,08-May-2026,TRP-0177,Store C,17.3750,78.4800,08:15,10,18,Friday,May
D2,11-May-2026,TRP-0178,Office B,17.4050,78.5150,12:15,57,14,Monday,May
D2,12-May-2026,TRP-0179,Clinic B,17.3920,78.4960,14:00,38,33,Tuesday,May
D2,13-May-2026,TRP-0180,Bank A,17.3880,78.4820,08:15,21,23,Wednesday,May
D2,16-May-2026,TRP-0181,Bank A,17.3880,78.4820,13:00,28,19,Saturday,May
D2,18-May-2026,TRP-0182,School 2,17.4080,78.5120,15:45,15,18,Monday,May
D2,19-May-2026,TRP-0183,Clinic A,17.3820,78.4830,09:30,52,21,Tuesday,May
D2,20-May-2026,TRP-0184,Clinic B,17.3920,78.4960,15:30,58,13,Wednesday,May
D2,22-May-2026,TRP-0185,Clinic A,17.3820,78.4830,12:00,33,14,Friday,May
D2,23-May-2026,TRP-0186,Store F,17.4100,78.5100,13:45,12,17,Saturday,May
D2,27-May-2026,TRP-0187,Pharmacy 2,17.4050,78.4950,16:15,18,12,Wednesday,May
D2,02-Jun-2026,TRP-0188,School 1,17.3720,78.4680,12:45,26,34,Tuesday,June
D2,03-Jun-2026,TRP-0189,Store A,17.3850,78.4860,16:00,39,24,Wednesday,June
D2,08-Jun-2026,TRP-0190,Hotel B,17.3780,78.4760,09:45,44,32,Monday,June
D2,10-Jun-2026,TRP-0191,Hub North,17.4500,78.5400,16:00,13,30,Wednesday,June
D2,11-Jun-2026,TRP-0192,Restaurant 2,17.3620,78.4620,15:30,30,20,Thursday,June
D2,12-Jun-2026,TRP-0193,Warehouse 1,17.4400,78.5300,13:45,16,33,Friday,June
D2,14-Jun-2026,TRP-0194,Office C,17.4150,78.4850,13:00,50,29,Sunday,June
D2,22-Jun-2026,TRP-0195,Tech Park 2,17.3550,78.4580,08:30,17,33,Monday,June
D2,26-Jun-2026,TRP-0196,Store D,17.4000,78.5000,10:00,27,24,Friday,June
D2,27-Jun-2026,TRP-0197,Factory 2,17.3200,78.4300,16:00,48,29,Saturday,June
D2,30-Jun-2026,TRP-0198,Hotel A,17.3880,78.4920,14:45,49,38,Tuesday,June
D2,01-Jul-2026,TRP-0199,Community Center,17.3620,78.4840,16:30,36,16,Wednesday,July
D2,05-Jul-2026,TRP-0200,Outlet 4,17.3980,78.4720,10:15,34,44,Sunday,July
D2,07-Jul-2026,TRP-0201,Factory 1,17.4600,78.5500,12:15,47,37,Tuesday,July
D2,10-Jul-2026,TRP-0202,Store B,17.3900,78.4950,09:15,34,23,Friday,July
D2,11-Jul-2026,TRP-0203,Warehouse 1,17.4400,78.5300,08:00,33,33,Saturday,July
D2,12-Jul-2026,TRP-0204,Store G,17.4200,78.4900,10:00,51,14,Sunday,July
D2,21-Jul-2026,TRP-0205,Store B,17.3900,78.4950,14:15,54,14,Tuesday,July
D2,22-Jul-2026,TRP-0206,Hotel B,17.3780,78.4760,14:45,26,17,Wednesday,July
D2,23-Jul-2026,TRP-0207,Store B,17.3900,78.4950,16:00,22,14,Thursday,July
D2,24-Jul-2026,TRP-0208,Airport Gate,17.2400,78.4300,14:30,14,30,Friday,July
D2,28-Jul-2026,TRP-0209,Park A,17.4180,78.5180,09:30,55,24,Tuesday,July
D2,02-Aug-2026,TRP-0210,Outlet 3,17.3650,78.4780,10:45,26,19,Sunday,August
D2,05-Aug-2026,TRP-0211,Airport Gate,17.2400,78.4300,13:15,46,28,Wednesday,August
D2,07-Aug-2026,TRP-0212,Pharmacy 1,17.3750,78.4720,16:45,23,41,Friday,August
D2,08-Aug-2026,TRP-0213,Outlet 1,17.3850,78.4900,09:30,13,20,Saturday,August
D2,10-Aug-2026,TRP-0214,Outlet 1,17.3850,78.4900,16:00,19,43,Monday,August
D2,11-Aug-2026,TRP-0215,Tech Park 1,17.4250,78.5150,11:30,24,17,Tuesday,August
D2,14-Aug-2026,TRP-0216,Store D,17.4000,78.5000,08:45,35,42,Friday,August
D2,15-Aug-2026,TRP-0217,Bank A,17.3880,78.4820,08:00,18,37,Saturday,August
D2,16-Aug-2026,TRP-0218,Hub East,17.3950,78.5500,08:15,37,30,Sunday,August
D2,22-Aug-2026,TRP-0219,Hub South,17.3300,78.4400,15:45,11,23,Saturday,August
D2,27-Aug-2026,TRP-0220,Warehouse 1,17.4400,78.5300,11:00,12,19,Thursday,August
D2,02-Sep-2026,TRP-0221,Store I,17.4300,78.5200,11:45,26,41,Wednesday,September
D2,09-Sep-2026,TRP-0222,Outlet 3,17.3650,78.4780,14:45,32,36,Wednesday,September
D2,11-Sep-2026,TRP-0223,Hub West,17.3950,78.4300,16:15,30,44,Friday,September
D2,12-Sep-2026,TRP-0224,Outlet 1,17.3850,78.4900,08:00,58,41,Saturday,September
D2,17-Sep-2026,TRP-0225,Outlet 5,17.4120,78.4980,10:00,38,25,Thursday,September
D2,18-Sep-2026,TRP-0226,Store C,17.3750,78.4800,15:15,14,25,Friday,September
D2,20-Sep-2026,TRP-0227,Bank A,17.3880,78.4820,09:15,44,23,Sunday,September
D2,21-Sep-2026,TRP-0228,Park A,17.4180,78.5180,13:15,55,13,Monday,September
D2,25-Sep-2026,TRP-0229,School 2,17.4080,78.5120,15:15,19,39,Friday,September
D2,29-Sep-2026,TRP-0230,Market 2,17.3850,78.5080,09:15,41,16,Tuesday,September
D2,30-Sep-2026,TRP-0231,Store D,17.4000,78.5000,10:15,18,25,Wednesday,September
D2,02-Oct-2026,TRP-0232,Outlet 4,17.3980,78.4720,09:15,57,16,Friday,October
D2,03-Oct-2026,TRP-0233,Office A,17.3800,78.4750,09:30,20,43,Saturday,October
D2,04-Oct-2026,TRP-0234,Hub North,17.4500,78.5400,13:15,42,44,Sunday,October
D2,15-Oct-2026,TRP-0235,Office B,17.4050,78.5150,14:15,44,38,Thursday,October
D2,16-Oct-2026,TRP-0236,Community Center,17.3620,78.4840,15:30,52,38,Friday,October
D2,23-Oct-2026,TRP-0237,Railway Station,17.4320,78.4980,08:30,10,26,Friday,October
D2,26-Oct-2026,TRP-0238,School 2,17.4080,78.5120,12:00,49,36,Monday,October
D2,27-Oct-2026,TRP-0239,Outlet 2,17.3750,78.5050,12:45,14,29,Tuesday,October
D2,28-Oct-2026,TRP-0240,Warehouse 1,17.4400,78.5300,13:15,17,14,Wednesday,October
D2,29-Oct-2026,TRP-0241,Depot B,17.3450,78.4550,12:15,25,12,Thursday,October
D2,31-Oct-2026,TRP-0242,Factory 1,17.4600,78.5500,12:45,35,43,Saturday,October
D2,01-Nov-2026,TRP-0243,Tech Park 2,17.3550,78.4580,12:15,29,25,Sunday,November
D2,03-Nov-2026,TRP-0244,Store B,17.3900,78.4950,11:15,22,10,Tuesday,November
D2,08-Nov-2026,TRP-0245,Store H,17.3500,78.4600,12:30,40,17,Sunday,November
D2,09-Nov-2026,TRP-0246,Factory 2,17.3200,78.4300,09:45,53,30,Monday,November
D2,11-Nov-2026,TRP-0247,Store G,17.4200,78.4900,14:45,37,36,Wednesday,November
D2,13-Nov-2026,TRP-0248,Restaurant 2,17.3620,78.4620,08:30,31,10,Friday,November
D2,22-Nov-2026,TRP-0249,School 1,17.3720,78.4680,09:45,44,42,Sunday,November
D2,23-Nov-2026,TRP-0250,Store D,17.4000,78.5000,14:00,41,20,Monday,November
D2,24-Nov-2026,TRP-0251,Depot B,17.3450,78.4550,09:30,17,18,Tuesday,November
D2,26-Nov-2026,TRP-0252,Bank A,17.3880,78.4820,12:30,29,44,Thursday,November
D2,29-Nov-2026,TRP-0253,Bus Terminal,17.3840,78.4560,11:00,37,37,Sunday,November
D2,03-Dec-2026,TRP-0254,Clinic B,17.3920,78.4960,13:30,60,19,Thursday,December
D2,04-Dec-2026,TRP-0255,Restaurant 1,17.4020,78.5020,08:00,43,40,Friday,December
D2,07-Dec-2026,TRP-0256,Market 1,17.3950,78.4880,12:45,57,26,Monday,December
D2,11-Dec-2026,TRP-0257,Store J,17.3950,78.5050,10:45,29,13,Friday,December
D2,13-Dec-2026,TRP-0258,Restaurant 1,17.4020,78.5020,13:45,44,33,Sunday,December
D2,14-Dec-2026,TRP-0259,Clinic A,17.3820,78.4830,08:30,19,42,Monday,December
D2,15-Dec-2026,TRP-0260,Community Center,17.3620,78.4840,12:15,48,23,Tuesday,December
D2,20-Dec-2026,TRP-0261,School 1,17.3720,78.4680,10:00,22,15,Sunday,December
D2,23-Dec-2026,TRP-0262,Clinic A,17.3820,78.4830,13:30,58,38,Wednesday,December
D2,25-Dec-2026,TRP-0263,Factory 1,17.4600,78.5500,09:30,55,20,Friday,December
D2,29-Dec-2026,TRP-0264,Bank B,17.3980,78.4980,09:00,43,26,Tuesday,December
D3,03-Jan-2026,TRP-0265,Market 2,17.3850,78.5080,12:30,39,37,Saturday,January
D3,05-Jan-2026,TRP-0266,Community Center,17.3620,78.4840,09:00,42,32,Monday,January
D3,10-Jan-2026,TRP-0267,Clinic B,17.3920,78.4960,15:30,35,20,Saturday,January
D3,12-Jan-2026,TRP-0268,Depot A,17.4350,78.5350,11:00,23,34,Monday,January
D3,15-Jan-2026,TRP-0269,Bus Terminal,17.3840,78.4560,08:00,13,23,Thursday,January
D3,19-Jan-2026,TRP-0270,Restaurant 2,17.3620,78.4620,13:45,36,10,Monday,January
D3,20-Jan-2026,TRP-0271,Outlet 5,17.4120,78.4980,14:00,14,27,Tuesday,January
D3,24-Jan-2026,TRP-0272,Depot B,17.3450,78.4550,08:15,54,37,Saturday,January
D3,29-Jan-2026,TRP-0273,Outlet 3,17.3650,78.4780,10:00,54,42,Thursday,January
D3,30-Jan-2026,TRP-0274,Office A,17.3800,78.4750,13:45,56,35,Friday,January
D3,31-Jan-2026,TRP-0275,Market 2,17.3850,78.5080,16:45,21,43,Saturday,January
D3,01-Feb-2026,TRP-0276,Pharmacy 2,17.4050,78.4950,15:30,46,14,Sunday,February
D3,02-Feb-2026,TRP-0277,Airport Gate,17.2400,78.4300,16:15,30,40,Monday,February
D3,03-Feb-2026,TRP-0278,Market 2,17.3850,78.5080,15:45,37,34,Tuesday,February
D3,04-Feb-2026,TRP-0279,Park B,17.3580,78.4580,15:15,39,27,Wednesday,February
