,Date,Trip_ID,Stop_Name,Latitude,Longitude,Visit_Time,Visit_Duration_Min,Travel_Next_Min,Day_Of_Week,Month,Hour,Is_Weekend,Traffic_Level,Stop_Encoded,Cluster,Stop_Frequency,Avg_Stop_Time,Daily_Visits,Route_Efficiency
D1,2026-04-04,TRP-0035,Tech Park 1,17.425,78.515,1900-01-01 14:45:00,52,45,Saturday,April,14,1,1,49,0,35,24.485714285714284,1,1.1304347826086956
D1,2026-04-06,TRP-0036,Office B,17.405,78.515,1900-01-01 12:30:00,17,10,Monday,April,12,0,1,22,4,28,22.071428571428573,1,1.5454545454545454
D1,2026-04-07,TRP-0037,Office B,17.405,78.515,1900-01-01 14:45:00,34,22,Tuesday,April,14,0,1,22,4,28,22.071428571428573,1,1.4782608695652173
D1,2026-04-12,TRP-0038,Store E,17.36,78.47,1900-01-01 14:00:00,13,32,Sunday,April,14,1,1,43,2,38,27.5,1,0.3939393939393939
D1,2026-04-14,TRP-0039,Mall 2,17.425,78.525,1900-01-01 13:45:00,37,22,Tuesday,April,13,0,1,18,0,32,27.375,1,1.608695652173913
D1,2026-04-19,TRP-0040,Market 1,17.395,78.488,1900-01-01 12:45:00,54,28,Sunday,April,12,1,1,19,4,52,25.71153846153846,1,1.8620689655172413
D1,2026-04-23,TRP-0041,School 1,17.372,78.468,1900-01-01 15:30:00,35,38,Thursday,April,15,0,1,36,2,30,28.1,1,0.8974358974358975
D1,2026-04-26,TRP-0042,Market 1,17.395,78.488,1900-01-01 13:30:00,56,27,Sunday,April,13,1,1,19,4,52,25.71153846153846,1,2.0
D1,2026-04-28,TRP-0043,Clinic A,17.382,78.483,1900-01-01 15:45:00,47,40,Tuesday,April,15,0,1,4,4,42,28.404761904761905,1,1.146341463414634
D1,2026-04-30,TRP-0044,Store F,17.41,78.51,1900-01-01 16:30:00,56,35,Thursday,April,16,0,1,44,4,31,24.774193548387096,1,1.5555555555555556
D1,2026-05-01,TRP-0045,Restaurant 2,17.362,78.462,1900-01-01 13:30:00,14,35,Friday,May,13,0,1,35,2,38,24.55263157894737,1,0.3888888888888889
D1,2026-05-03,TRP-0046,Park B,17.358,78.458,1900-01-01 13:30:00,48,21,Sunday,May,13,1,1,30,2,33,24.484848484848484,1,2.1818181818181817
D1,2026-05-06,TRP-0047,Mall 1,17.37,78.465,1900-01-01 10:30:00,16,45,Wednesday,May,10,0,2,17,2,39,29.71794871794872,1,0.34782608695652173
D1,2026-05-10,TRP-0048,Bus Terminal,17.384,78.456,1900-01-01 08:15:00,46,14,Sunday,May,8,1,2,3,2,42,25.738095238095237,1,3.066666666666667
D1,2026-05-14,TRP-0049,Outlet 2,17.375,78.505,1900-01-01 11:45:00,47,11,Thursday,May,11,0,1,25,4,34,26.205882352941178,1,3.9166666666666665
D1,2026-05-19,TRP-0050,Outlet 1,17.385,78.49,1900-01-01 11:30:00,46,22,Tuesday,May,11,0,1,24,4,35,27.82857142857143,2,2.0
D1,2026-05-20,TRP-0051,School 2,17.408,78.512,1900-01-01 13:00:00,52,13,Wednesday,May,13,0,1,37,4,49,26.6734693877551,1,3.7142857142857144
D1,2026-05-24,TRP-0052,Store C,17.375,78.48,1900-01-01 13:45:00,30,20,Sunday,May,13,1,1,41,2,41,29.146341463414632,1,1.4285714285714286
D1,2026-05-26,TRP-0053,Railway Station,17.432,78.498,1900-01-01 10:00:00,48,32,Tuesday,May,10,0,2,33,0,37,27.62162162162162,1,1.4545454545454546
D1,2026-05-28,TRP-0054,Warehouse 1,17.44,78.53,1900-01-01 08:30:00,15,35,Thursday,May,8,0,2,51,0,38,27.92105263157895,2,0.4166666666666667
D1,2026-05-30,TRP-0055,Outlet 4,17.398,78.472,1900-01-01 13:00:00,19,38,Saturday,May,13,1,1,27,4,35,27.114285714285714,1,0.48717948717948717
D1,2026-06-06,TRP-0056,Hotel B,17.378,78.476,1900-01-01 16:45:00,34,22,Saturday,June,16,1,1,12,2,40,25.2,1,1.4782608695652173
D1,2026-06-11,TRP-0057,Store G,17.42,78.49,1900-01-01 14:15:00,12,21,Thursday,June,14,0,1,45,4,47,30.80851063829787,1,0.5454545454545454
D1,2026-06-12,TRP-0058,Market 1,17.395,78.488,1900-01-01 11:45:00,60,33,Friday,June,11,0,1,19,4,52,25.71153846153846,2,1.7647058823529411
D1,2026-06-14,TRP-0059,Hotel B,17.378,78.476,1900-01-01 14:00:00,48,13,Sunday,June,14,1,1,12,2,40,25.2,1,3.4285714285714284
D1,2026-06-15,TRP-0060,Warehouse 1,17.44,78.53,1900-01-01 12:15:00,13,21,Monday,June,12,0,1,51,0,38,27.92105263157895,1,0.5909090909090909
D1,2026-06-16,TRP-0061,Store G,17.42,78.49,1900-01-01 13:15:00,29,12,Tuesday,June,13,0,1,45,4,47,30.80851063829787,1,2.230769230769231
D1,2026-06-20,TRP-0062,Outlet 1,17.385,78.49,1900-01-01 14:00:00,32,22,Saturday,June,14,1,1,24,4,35,27.82857142857143,1,1.391304347826087
D1,2026-06-23,TRP-0063,Clinic B,17.392,78.496,1900-01-01 10:15:00,35,39,Tuesday,June,10,0,2,5,4,39,28.384615384615383,1,0.875
D1,2026-06-24,TRP-0064,Railway Station,17.432,78.498,1900-01-01 13:00:00,21,21,Wednesday,June,13,0,1,33,0,37,27.62162162162162,1,0.9545454545454546
D1,2026-06-27,TRP-0065,Restaurant 2,17.362,78.462,1900-01-01 14:15:00,42,35,Saturday,June,14,1,1,35,2,38,24.55263157894737,1,1.1666666666666667
D1,2026-06-28,TRP-0066,Store G,17.42,78.49,1900-01-01 14:00:00,25,16,Sunday,June,14,1,1,45,4,47,30.80851063829787,1,1.4705882352941178
D1,2026-07-04,TRP-0067,Park B,17.358,78.458,1900-01-01 15:15:00,44,28,Saturday,July,15,1,1,30,2,33,24.484848484848484,1,1.5172413793103448
D1,2026-07-10,TRP-0068,Store A,17.385,78.486,1900-01-01 10:45:00,54,24,Friday,July,10,0,2,39,4,38,28.526315789473685,1,2.16
D1,2026-07-12,TRP-0069,Store G,17.42,78.49,1900-01-01 16:45:00,16,35,Sunday,July,16,1,1,45,4,47,30.80851063829787,2,0.4444444444444444
D1,2026-07-14,TRP-0070,Restaurant 2,17.362,78.462,1900-01-01 11:30:00,32,14,Tuesday,July,11,0,1,35,2,38,24.55263157894737,1,2.1333333333333333
D1,2026-07-17,TRP-0071,Office A,17.38,78.475,1900-01-01 16:00:00,14,35,Friday,July,16,0,1,21,2,32,28.09375,2,0.3888888888888889
D1,2026-07-18,TRP-0072,Shopping Center,17.445,78.527,1900-01-01 08:00:00,51,37,Saturday,July,8,1,2,38,0,39,29.94871794871795,1,1.3421052631578947
D1,2026-07-21,TRP-0073,Factory 1,17.46,78.55,1900-01-01 10:00:00,32,30,Tuesday,July,10,0,2,9,0,36,24.38888888888889,1,1.032258064516129
D1,2026-07-24,TRP-0074,Market 1,17.395,78.488,1900-01-01 15:15:00,11,23,Friday,July,15,0,1,19,4,52,25.71153846153846,2,0.4583333333333333
D1,2026-07-28,TRP-0075,Store I,17.43,78.52,1900-01-01 12:15:00,25,25,Tuesday,July,12,0,1,47,0,41,28.170731707317074,1,0.9615384615384616
D1,2026-07-29,TRP-0076,Depot B,17.345,78.455,1900-01-01 16:45:00,45,11,Wednesday,July,16,0,1,8,2,43,28.790697674418606,1,3.75
D1,2026-07-30,TRP-0077,Store I,17.43,78.52,1900-01-01 08:00:00,11,13,Thursday,July,8,0,2,47,0,41,28.170731707317074,1,0.7857142857142857
D1,2026-08-01,TRP-0078,Tech Park 2,17.355,78.458,1900-01-01 10:45:00,13,45,Saturday,August,10,1,2,50,2,38,26.289473684210527,2,0.2826086956521739
D1,2026-08-03,TRP-0079,Warehouse 1,17.44,78.53,1900-01-01 08:45:00,47,39,Monday,August,8,0,2,51,0,38,27.92105263157895,2,1.175
D1,2026-08-04,TRP-0080,Outlet 5,17.412,78.498,1900-01-01 13:15:00,12,35,Tuesday,August,13,0,1,28,4,43,28.72093023255814,1,0.3333333333333333
D1,2026-08-06,TRP-0081,Market 1,17.395,78.488,1900-01-01 15:45:00,55,33,Thursday,August,15,0,1,19,4,52,25.71153846153846,1,1.6176470588235294
D1,2026-08-13,TRP-0082,Pharmacy 1,17.375,78.472,1900-01-01 09:15:00,26,26,Thursday,August,9,0,2,31,2,24,27.541666666666668,1,0.9629629629629629
D1,2026-08-14,TRP-0083,Warehouse 2,17.34,78.45,1900-01-01 09:45:00,10,19,Friday,August,9,0,2,52,2,30,24.766666666666666,1,0.5
D1,2026-08-22,TRP-0084,Hub North,17.45,78.54,1900-01-01 09:30:00,19,16,Saturday,August,9,1,2,14,0,53,27.39622641509434,1,1.1176470588235294
D1,2026-08-23,TRP-0085,Hotel A,17.388,78.492,1900-01-01 09:30:00,55,31,Sunday,August,9,1,2,11,4,44,28.045454545454547,1,1.71875
D1,2026-08-25,TRP-0086,Shopping Center,17.445,78.527,1900-01-01 08:30:00,50,43,Tuesday,August,8,0,2,38,0,39,29.94871794871795,1,1.1363636363636365
D1,2026-08-30,TRP-0087,Outlet 3,17.365,78.478,1900-01-01 16:15:00,55,13,Sunday,August,16,1,1,26,2,29,24.620689655172413,1,3.9285714285714284
D1,2026-08-31,TRP-0088,Market 1,17.395,78.488,1900-01-01 08:00:00,51,23,Monday,August,8,0,2,19,4,52,25.71153846153846,1,2.125
D1,2026-09-01,TRP-0089,Pharmacy 1,17.375,78.472,1900-01-01 09:45:00,29,39,Tuesday,September,9,0,2,31,2,24,27.541666666666668,1,0.725
D1,2026-09-05,TRP-0090,Outlet 5,17.412,78.498,1900-01-01 10:15:00,11,35,Saturday,September,10,1,2,28,4,43,28.72093023255814,1,0.3055555555555556
D1,2026-09-07,TRP-0091,Park A,17.418,78.518,1900-01-01 10:45:00,52,21,Monday,September,10,0,2,29,0,29,26.79310344827586,1,2.3636363636363638
D1,2026-09-10,TRP-0092,Factory 1,17.46,78.55,1900-01-01 16:45:00,19,12,Thursday,September,16,0,1,9,0,36,24.38888888888889,2,1.4615384615384615
D1,2026-09-12,TRP-0093,Clinic B,17.392,78.496,1900-01-01 14:15:00,40,27,Saturday,September,14,1,1,5,4,39,28.384615384615383,1,1.4285714285714286
D1,2026-09-14,TRP-0094,Office B,17.405,78.515,1900-01-01 15:30:00,51,45,Monday,September,15,0,1,22,4,28,22.071428571428573,1,1.108695652173913
D1,2026-09-17,TRP-0095,Depot B,17.345,78.455,1900-01-01 10:30:00,57,30,Thursday,September,10,0,2,8,2,43,28.790697674418606,1,1.8387096774193548
D1,2026-09-18,TRP-0096,Store I,17.43,78.52,1900-01-01 08:45:00,13,31,Friday,September,8,0,2,47,0,41,28.170731707317074,1,0.40625
D1,2026-09-23,TRP-0097,School 2,17.408,78.512,1900-01-01 16:00:00,34,15,Wednesday,September,16,0,1,37,4,49,26.6734693877551,2,2.125
D1,2026-09-27,TRP-0098,Bank A,17.388,78.482,1900-01-01 08:15:00,12,10,Sunday,September,8,1,2,1,4,36,27.166666666666668,1,1.0909090909090908
D1,2026-09-29,TRP-0099,Depot A,17.435,78.535,1900-01-01 14:15:00,52,40,Tuesday,September,14,0,1,7,0,41,28.926829268292682,1,1.2682926829268293
D1,2026-10-03,TRP-0100,Warehouse 2,17.34,78.45,1900-01-01 10:45:00,44,44,Saturday,October,10,1,2,52,2,30,24.766666666666666,1,0.9777777777777777
D1,2026-10-04,TRP-0101,Office A,17.38,78.475,1900-01-01 11:15:00,34,23,Sunday,October,11,1,1,21,2,32,28.09375,2,1.4166666666666667
D1,2026-10-10,TRP-0102,School 1,17.372,78.468,1900-01-01 15:45:00,60,22,Saturday,October,15,1,1,36,2,30,28.1,1,2.608695652173913
D1,2026-10-12,TRP-0103,Store E,17.36,78.47,1900-01-01 16:15:00,48,44,Monday,October,16,0,1,43,2,38,27.5,1,1.0666666666666667
D1,2026-10-14,TRP-0104,Store I,17.43,78.52,1900-01-01 09:45:00,39,15,Wednesday,October,9,0,2,47,0,41,28.170731707317074,1,2.4375
D1,2026-10-15,TRP-0105,Office B,17.405,78.515,1900-01-01 08:45:00,21,20,Thursday,October,8,0,2,22,4,28,22.071428571428573,2,1.0
D1,2026-10-19,TRP-0106,Depot A,17.435,78.535,1900-01-01 14:15:00,25,31,Monday,October,14,0,1,7,0,41,28.926829268292682,1,0.78125
D1,2026-10-22,TRP-0107,Hub East,17.395,78.55,1900-01-01 12:15:00,13,41,Thursday,October,12,0,1,13,0,39,27.94871794871795,1,0.30952380952380953
D1,2026-10-24,TRP-0108,Outlet 2,17.375,78.505,1900-01-01 13:30:00,10,30,Saturday,October,13,1,1,25,4,34,26.205882352941178,1,0.3225806451612903
D1,2026-10-27,TRP-0109,Pharmacy 2,17.405,78.495,1900-01-01 12:00:00,36,28,Tuesday,October,12,0,1,32,4,33,26.454545454545453,1,1.2413793103448276
D1,2026-10-31,TRP-0110,Outlet 5,17.412,78.498,1900-01-01 10:00:00,36,37,Saturday,October,10,1,2,28,4,43,28.72093023255814,1,0.9473684210526315
D1,2026-11-01,TRP-0111,Community Center,17.362,78.484,1900-01-01 16:30:00,46,40,Sunday,November,16,1,1,6,2,33,26.363636363636363,1,1.1219512195121952
D1,2026-11-03,TRP-0112,Store F,17.41,78.51,1900-01-01 14:00:00,58,36,Tuesday,November,14,0,1,44,4,31,24.774193548387096,1,1.5675675675675675
D1,2026-11-04,TRP-0113,Clinic A,17.382,78.483,1900-01-01 11:45:00,11,38,Wednesday,November,11,0,1,4,4,42,28.404761904761905,2,0.28205128205128205
D1,2026-11-06,TRP-0114,Outlet 5,17.412,78.498,1900-01-01 15:45:00,29,45,Friday,November,15,0,1,28,4,43,28.72093023255814,1,0.6304347826086957
D1,2026-11-13,TRP-0115,Pharmacy 1,17.375,78.472,1900-01-01 10:45:00,20,24,Friday,November,10,0,2,31,2,24,27.541666666666668,1,0.8
D1,2026-11-15,TRP-0116,Clinic A,17.382,78.483,1900-01-01 15:45:00,35,29,Sunday,November,15,1,1,4,4,42,28.404761904761905,2,1.1666666666666667
D1,2026-11-17,TRP-0117,Tech Park 2,17.355,78.458,1900-01-01 16:45:00,48,11,Tuesday,November,16,0,1,50,2,38,26.289473684210527,1,4.0
D1,2026-11-18,TRP-0118,School 1,17.372,78.468,1900-01-01 16:30:00,50,39,Wednesday,November,16,0,1,36,2,30,28.1,1,1.25
D1,2026-11-25,TRP-0119,Hub East,17.395,78.55,1900-01-01 10:15:00,24,33,Wednesday,November,10,0,2,13,0,39,27.94871794871795,1,0.7058823529411765
D1,2026-11-26,TRP-0120,Park A,17.418,78.518,1900-01-01 10:00:00,44,12,Thursday,November,10,0,2,29,0,29,26.79310344827586,2,3.3846153846153846
D1,2026-11-30,TRP-0121,Store D,17.4,78.5,1900-01-01 10:45:00,58,29,Monday,November,10,0,2,42,4,50,29.36,1,1.9333333333333333
D1,2026-12-01,TRP-0122,Store B,17.39,78.495,1900-01-01 10:45:00,39,32,Tuesday,December,10,0,2,40,4,37,26.35135135135135,1,1.1818181818181819
D1,2026-12-02,TRP-0123,Store B,17.39,78.495,1900-01-01 14:30:00,26,11,Wednesday,December,14,0,1,40,4,37,26.35135135135135,1,2.1666666666666665
D1,2026-12-06,TRP-0124,Store J,17.395,78.505,1900-01-01 12:00:00,19,25,Sunday,December,12,1,1,48,4,34,28.352941176470587,1,0.7307692307692307
D1,2026-12-07,TRP-0125,Store H,17.35,78.46,1900-01-01 16:45:00,59,28,Monday,December,16,0,1,46,2,39,25.41025641025641,1,2.0344827586206895
D1,2026-12-08,TRP-0126,Factory 2,17.32,78.43,1900-01-01 13:45:00,59,31,Tuesday,December,13,0,1,10,1,40,27.15,2,1.84375
D1,2026-12-11,TRP-0127,Park A,17.418,78.518,1900-01-01 12:45:00,13,16,Friday,December,12,0,1,29,0,29,26.79310344827586,1,0.7647058823529411
D1,2026-12-15,TRP-0128,Clinic A,17.382,78.483,1900-01-01 13:45:00,56,37,Tuesday,December,13,0,1,4,4,42,28.404761904761905,1,1.4736842105263157
D1,2026-12-17,TRP-0129,Clinic A,17.382,78.483,1900-01-01 13:00:00,20,22,Thursday,December,13,0,1,4,4,42,28.404761904761905,1,0.8695652173913043
D1,2026-12-24,TRP-0130,Hotel B,17.378,78.476,1900-01-01 13:30:00,22,10,Thursday,December,13,0,1,12,2,40,25.2,2,2.0
D1,2026-12-25,TRP-0131,Tech Park 1,17.425,78.515,1900-01-01 14:00:00,58,20,Friday,December,14,0,1,49,0,35,24.485714285714284,1,2.761904761904762
D1,2026-12-31,TRP-0132,Warehouse 1,17.44,78.53,1900-01-01 15:30:00,35,17,Thursday,December,15,0,1,51,0,38,27.92105263157895,1,1.9444444444444444
D2,2026-01-02,TRP-0133,Store F,17.41,78.51,1900-01-01 09:15:00,51,21,Friday,January,9,0,2,44,4,31,24.774193548387096,1,2.3181818181818183
D2,2026-01-03,TRP-0134,Warehouse 1,17.44,78.53,1900-01-01 15:45:00,55,45,Saturday,January,15,1,1,51,0,38,27.92105263157895,1,1.1956521739130435
D2,2026-01-07,TRP-0135,Office A,17.38,78.475,1900-01-01 14:15:00,37,36,Wednesday,January,14,0,1,21,2,32,28.09375,1,1.0
D2,2026-01-08,TRP-0136,Office A,17.38,78.475,1900-01-01 11:30:00,40,18,Thursday,January,11,0,1,21,2,32,28.09375,1,2.1052631578947367
D2,2026-01-09,TRP-0137,Airport Gate,17.24,78.43,1900-01-01 11:00:00,56,43,Friday,January,11,0,1,0,1,46,28.369565217391305,1,1.2727272727272727
D2,2026-01-13,TRP-0138,Bank A,17.388,78.482,1900-01-01 10:15:00,15,35,Tuesday,January,10,0,2,1,4,36,27.166666666666668,1,0.4166666666666667
D2,2026-01-16,TRP-0139,Market 1,17.395,78.488,1900-01-01 16:00:00,48,42,Friday,January,16,0,1,19,4,52,25.71153846153846,1,1.1162790697674418
D2,2026-01-18,TRP-0140,Office C,17.415,78.485,1900-01-01 13:30:00,41,21,Sunday,January,13,1,1,23,4,34,27.852941176470587,1,1.8636363636363635
D2,2026-01-19,TRP-0141,Shopping Center,17.445,78.527,1900-01-01 15:15:00,34,35,Monday,January,15,0,1,38,0,39,29.94871794871795,1,0.9444444444444444
D2,2026-01-25,TRP-0142,Outlet 5,17.412,78.498,1900-01-01 16:00:00,36,43,Sunday,January,16,1,1,28,4,43,28.72093023255814,1,0.8181818181818182
D2,2026-01-26,TRP-0143,Tech Park 1,17.425,78.515,1900-01-01 09:15:00,13,16,Monday,January,9,0,2,49,0,35,24.485714285714284,1,0.7647058823529411
D2,2026-02-03,TRP-0144,Factory 2,17.32,78.43,1900-01-01 10:00:00,10,38,Tuesday,February,10,0,2,10,1,40,27.15,1,0.2564102564102564
D2,2026-02-05,TRP-0145,Market 2,17.385,78.508,1900-01-01 09:45:00,49,11,Thursday,February,9,0,2,20,4,41,27.073170731707318,1,4.083333333333333
D2,2026-02-08,TRP-0146,Warehouse 1,17.44,78.53,1900-01-01 10:45:00,25,40,Sunday,February,10,1,2,51,0,38,27.92105263157895,1,0.6097560975609756
D2,2026-02-09,TRP-0147,Outlet 5,17.412,78.498,1900-01-01 09:15:00,15,31,Monday,February,9,0,2,28,4,43,28.72093023255814,1,0.46875
D2,2026-02-10,TRP-0148,Market 2,17.385,78.508,1900-01-01 12:15:00,50,13,Tuesday,February,12,0,1,20,4,41,27.073170731707318,1,3.5714285714285716
D2,2026-02-11,TRP-0149,Outlet 4,17.398,78.472,1900-01-01 16:00:00,52,13,Wednesday,February,16,0,1,27,4,35,27.114285714285714,1,3.7142857142857144
D2,2026-02-12,TRP-0150,Store C,17.375,78.48,1900-01-01 15:45:00,45,44,Thursday,February,15,0,1,41,2,41,29.146341463414632,1,1.0
D2,2026-02-18,TRP-0151,Hub East,17.395,78.55,1900-01-01 13:30:00,47,18,Wednesday,February,13,0,1,13,0,39,27.94871794871795,1,2.473684210526316
D2,2026-02-23,TRP-0152,Outlet 5,17.412,78.498,1900-01-01 13:30:00,14,26,Monday,February,13,0,1,28,4,43,28.72093023255814,1,0.5185185185185185
D2,2026-02-24,TRP-0153,Bank B,17.398,78.498,1900-01-01 12:30:00,54,45,Tuesday,February,12,0,1,2,4,29,29.17241379310345,1,1.173913043478261
D2,2026-02-26,TRP-0154,Store G,17.42,78.49,1900-01-01 12:45:00,30,39,Thursday,February,12,0,1,45,4,47,30.80851063829787,1,0.75
D2,2026-03-01,TRP-0155,Airport Gate,17.24,78.43,1900-01-01 13:45:00,27,20,Sunday,March,13,1,1,0,1,46,28.369565217391305,1,1.2857142857142858
D2,2026-03-04,TRP-0156,Hub West,17.395,78.43,1900-01-01 11:15:00,13,13,Wednesday,March,11,0,1,16,3,49,29.20408163265306,1,0.9285714285714286
D2,2026-03-05,TRP-0157,Airport Gate,17.24,78.43,1900-01-01 10:15:00,13,28,Thursday,March,10,0,2,0,1,46,28.369565217391305,2,0.4482758620689655
D2,2026-03-06,TRP-0158,Factory 2,17.32,78.43,1900-01-01 15:30:00,29,26,Friday,March,15,0,1,10,1,40,27.15,1,1.0740740740740742
D2,2026-03-09,TRP-0159,Store E,17.36,78.47,1900-01-01 11:30:00,14,14,Monday,March,11,0,1,43,2,38,27.5,1,0.9333333333333333
D2,2026-03-13,TRP-0160,Tech Park 2,17.355,78.458,1900-01-01 11:45:00,60,44,Friday,March,11,0,1,50,2,38,26.289473684210527,1,1.3333333333333333
D2,2026-03-14,TRP-0161,Pharmacy 2,17.405,78.495,1900-01-01 11:30:00,45,28,Saturday,March,11,1,1,32,4,33,26.454545454545453,1,1.5517241379310345
D2,2026-03-15,TRP-0162,Store D,17.4,78.5,1900-01-01 16:45:00,52,31,Sunday,March,16,1,1,42,4,50,29.36,1,1.625
